sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
37234771308,2022-06-10T07:59:00Z,74,19,20,35,46,55,0.09140969162995595
37208221150,2022-06-09T09:04:00Z,80,21,20,39,77,55,0.09550561797752809
37208221149,2022-06-08T08:19:00Z,82,20,21,41,80,55,0.10298661174047374
37183406694,2022-06-07T08:30:00Z,81,20,21,40,74,57,0.10402355250245339
37170849201,2022-06-06T08:27:00Z,76,18,20,38,86,57,0.10783410138248847
37154146333,2022-06-05T10:04:30Z,69,18,19,32,60,56,0.11661506707946337
37145961376,2022-06-04T08:07:30Z,82,20,21,41,53,57,0.09989258861439312
37145961375,2022-06-03T07:05:00Z,78,20,20,38,66,57,0.10456273764258556
37110685184,2022-06-01T06:59:30Z,85,23,21,41,107,57,0.09090909090909091
37084559961,2022-05-30T06:08:30Z,72,17,21,34,79,58,0.08685162846803378
37070827834,2022-05-29T07:51:30Z,79,20,19,40,102,57,0.10392156862745099
37058134363,2022-05-28T06:23:30Z,76,17,21,38,56,57,0.09897610921501707
37047660849,2022-05-27T07:04:30Z,80,19,23,38,74,57,0.08232711306256861
37032721398,2022-05-26T06:18:30Z,80,19,22,39,90,59,0.10324483775811209
37021611583,2022-05-25T06:32:30Z,83,21,21,41,78,59,0.11238293444328824
37008993883,2022-05-24T07:01:30Z,72,17,19,36,54,58,0.1184939091915836
36997485499,2022-05-23T06:48:00Z,76,18,20,38,67,58,0.1099624060150376
36983443928,2022-05-22T06:33:30Z,82,21,21,40,63,58,0.0796277145811789
36972646764,2022-05-21T07:23:00Z,72,18,20,34,51,56,0.10249671484888305
36972840802,2022-05-20T05:45:00Z,77,17,20,40,78,56,0.08826583592938733
36948311392,2022-05-19T06:31:00Z,73,17,20,36,50,55,0.10047846889952153
36932557845,2022-05-18T06:14:30Z,69,18,20,31,73,55,0.13793103448275862
36918269171,2022-05-17T06:36:00Z,77,18,20,39,63,56,0.13519553072625698
36904381549,2022-05-16T06:44:00Z,86,20,21,45,76,56,0.10064635272391505
36892872486,2022-05-15T07:01:30Z,65,17,20,28,86,56,0.12009512485136742
36883718401,2022-05-14T06:55:30Z,70,17,21,32,54,56,0.12753623188405797
36883718400,2022-05-13T07:02:30Z,73,21,18,34,89,55,0.13224043715846995
36883718398,2022-05-12T06:57:30Z,75,18,21,36,58,55,0.12142038946162657
36846350729,2022-05-10T03:51:30Z,62,15,22,25,52,55,0.10160427807486631
36819145023,2022-05-09T06:47:30Z,77,20,19,38,30,55,0.14399205561072492
36807786523,2022-05-08T07:31:00Z,81,21,20,40,68,55,0.14568158168574402
36794282225,2022-05-07T06:56:00Z,76,17,20,39,76,54,0.12320328542094455
36779853793,2022-05-06T02:21:30Z,61,17,20,24,45,54,0.11864406779661017
36767873376,2022-05-05T06:07:30Z,68,17,18,33,69,54,0.15920915712799166
36755524618,2022-05-04T06:31:00Z,78,19,20,39,56,54,0.12004069175991862
36743675815,2022-05-03T06:29:30Z,84,20,20,44,62,54,0.11632100991884581
36732317819,2022-05-02T06:31:30Z,73,19,19,35,85,55,0.14212152420185376
36719752191,2022-05-01T06:48:30Z,71,17,20,34,40,56,0.1191969887076537
36706362141,2022-04-30T08:52:30Z,78,17,19,42,77,56,0.1527464258841234
36694482660,2022-04-29T08:20:00Z,71,20,19,32,83,54,0.12240437158469945
36682071173,2022-04-28T10:11:00Z,80,22,19,39,107,54,0.15092502434274585
36682071172,2022-04-27T08:11:00Z,77,21,18,38,82,53,0.13979706877113868
36656011183,2022-04-26T07:36:30Z,68,16,20,32,54,54,0.11995386389850057
36644514652,2022-04-25T09:24:00Z,84,21,20,43,69,54,0.13155555555555556
36627722616,2022-04-24T06:53:30Z,69,16,20,33,49,55,0.09706546275395034
36617672075,2022-04-23T07:45:00Z,75,18,22,35,49,55,0.0835509138381201
36601483020,2022-04-22T07:28:30Z,75,22,19,34,97,54,0.12514757969303425
36592075673,2022-04-21T08:34:30Z,77,20,21,36,58,53,0.11252900232018562
36580327248,2022-04-20T07:29:00Z,77,18,19,40,79,53,0.1227364185110664
36567816614,2022-04-19T07:50:30Z,70,18,21,31,59,54,0.12234042553191489
36548026477,2022-04-18T08:10:00Z,75,18,19,38,102,55,0.15009560229445507
36540706909,2022-04-17T07:55:30Z,67,17,20,30,47,54,0.10923276983094929
36527513066,2022-04-16T09:16:30Z,80,18,18,44,84,56,0.15906976744186047
36516552969,2022-04-15T08:06:30Z,69,17,19,33,77,56,0.12324324324324325
36501896081,2022-04-14T06:53:30Z,72,18,21,33,75,58,0.12220916568742655
36488527537,2022-04-13T07:37:00Z,78,22,20,36,90,59,0.11018957345971564
36472552173,2022-04-12T05:02:00Z,65,18,21,26,60,58,0.09601181683899557
36460742085,2022-04-11T08:11:30Z,72,17,20,35,87,57,0.1193058568329718
36448675328,2022-04-10T06:39:00Z,70,17,19,34,29,56,0.11551528878822197
36436296689,2022-04-09T10:10:30Z,78,17,19,42,51,56,0.15088529638183218
36423137539,2022-04-08T08:47:30Z,74,18,19,37,83,55,0.12837837837837837
36405366278,2022-04-07T08:47:00Z,76,17,18,41,76,56,0.16794478527607362
36398383076,2022-04-06T07:45:30Z,70,17,20,33,46,56,0.11727748691099477
36384725359,2022-04-05T09:32:00Z,81,20,18,43,90,57,0.17687074829931973
36367636079,2022-04-04T09:21:30Z,79,20,18,41,90,56,0.18241577649958915
36354191824,2022-04-03T05:39:00Z,65,16,20,29,37,56,0.10457516339869281
36344471272,2022-04-02T07:50:30Z,74,20,21,33,100,57,0.11035267349260523
36330629677,2022-04-01T07:10:30Z,72,17,22,33,57,58,0.08831521739130435
36319364412,2022-03-31T06:57:30Z,72,17,22,33,55,59,0.09637046307884856
36304267488,2022-03-30T06:21:30Z,58,17,17,24,56,57,0.12408759124087591
36291052024,2022-03-29T09:37:30Z,82,20,19,43,99,56,0.15238954012623984
36279121268,2022-03-28T08:32:00Z,72,18,18,36,94,56,0.14349775784753363
36265355221,2022-03-27T05:55:00Z,67,16,22,29,35,56,0.07772020725388601
36254537735,2022-03-26T07:17:30Z,66,17,20,29,53,54,0.11782945736434108
36237465956,2022-03-25T05:49:30Z,76,18,19,39,81,54,0.14432989690721648
36228641651,2022-03-24T07:06:00Z,72,17,20,35,87,54,0.09615384615384616
36213038551,2022-03-23T07:10:00Z,70,16,20,34,45,54,0.11714975845410629
36202201925,2022-03-22T09:16:30Z,76,19,18,39,66,55,0.14627414903403863
36182579645,2022-03-21T07:26:30Z,82,22,20,40,86,55,0.11813471502590674
36170862866,2022-03-20T06:44:30Z,67,18,20,29,63,56,0.11874105865522175
36164071664,2022-03-19T19:02:00Z,65,16,20,29,25,57,0.06422018348623854
36158404385,2022-03-19T07:58:00Z,73,18,21,34,72,57,0.09843081312410841
36145710917,2022-03-18T08:07:00Z,79,21,19,39,61,57,0.1533066132264529
